Token,Item Name,Customer-facing Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Auto Add Item to Check,Preselect First Variation,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Current Quantity A Bushel & A Peck Bakery,New Quantity A Bushel & A Peck Bakery,Stock Alert Enabled A Bushel & A Peck Bakery,Stock Alert Count A Bushel & A Peck Bakery,Modifier Set - Add Cold Foam,Modifier Set - Bottles,Modifier Set - Coffee Menu,Modifier Set - Cold brews,Modifier Set - Concentrates-sauces,Modifier Set - Drink Size,Modifier Set - Extra Shots,Modifier Set - Flavor Options,Modifier Set - Hot,Modifier Set - Icing Options,Modifier Set - Lotus Liquid,Modifier Set - Milk Options,Modifier Set - Produce,Modifier Set - Sauces,Modifier Set - Sourdough Artisan Loaf,Modifier Set - Special Instructions,Modifier Set - Stryker Menu,Modifier Set - Syrups
CCLZAZ6EP6NCV7HFW4Y527YD,Iced tea & lemonade,,Large - 24oz,,,,Drinks,Drinks,,,,,hidden,Physical good,,,,,,,,6.75,,N,,,,N,,Drink Sizes,Large - 24oz,,,,506,,,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y
2LVMUPE5I7ZVJG5CHVULT7BY,Icing,,Regular,,,,,,,,,,visible,Physical good,,,,N,N,N,Y,4.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
5WFJKPAPEQN5IIIJHXG5IVH7,Kids drinks,,Kids - 8oz,,,,,,,,,,visible,Physical good,,,,N,N,N,Y,3.50,,N,,N,,N,Y,Drink Sizes,Kids - 8oz,,,,86,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
VEVFOP2KNQVXEOKMUMGS772X,Kolache,,Regular,,,,"Food, From the case",Food,,,,,hidden,Physical good,,,,N,N,N,Y,5.50,,N,,N,,N,Y,,,,,,559,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
7TCR7MFCHSZKWAXW577F4OP4,Macarons,,2 Pack,,,,"Food, From the case",Food,,,,,hidden,Physical good,,,,N,N,N,Y,6.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
25ML37VWX3JIZ77OYSHQNX7Y,Macarons,,6 Pack,,,,"Food, From the case",Food,,,,,hidden,Physical good,,,,,,,,18.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
IZ6GBG7HMZQNQ4EQLIIQ6PF2,Milk bread,,Plain,,,,Bread,Bread,,,,,hidden,Physical good,,,,N,N,N,Y,8.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
BDXKOGHTX5MMVQTZO3T7FRX3,Milk bread,,Cinnamon raisin,,,,Bread,Bread,,,,,hidden,Physical good,,,,,,,,9.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Z7GE2XWJKQHITQQTTRG3SOXA,Mini pies,,Regular,,,,,,,,,,hidden,Physical good,,,,N,N,N,Y,10.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
7RT7UANNR5FE7G7RQE5NX57C,Muffins,,Regular,,,,Food,Food,,,,,hidden,Physical good,,,,N,N,N,Y,4.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MPLP42RYUXATCGZVSUVOE6Y3,Non coffee,,Kids - 8oz,,,,,,,,,,visible,Prepared food and beverage,,,,,,,,variable,,N,,,,N,Y,Drink Sizes,Kids - 8oz,,,,,,,,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,Y
FNLTWNZBXGHATESPEUDP4WJR,Non coffee,,Small - 16oz,,,,,,,,,,visible,Prepared food and beverage,,,,,,,,variable,,N,,,,N,,Drink Sizes,Small - 16oz,,,,,,,,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,Y
EPESGY32GP3LJKFGFR5Q46RT,Non coffee,,Regular - 20oz,,,,,,,,,,visible,Prepared food and beverage,,,,,,,,variable,,N,,,,N,,Drink Sizes,Regular - 20oz,,,,,,,,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,Y
K5ONKIALWGV6SVFO6PBFBYTI,Non coffee,,Large - 24oz,,,,,,,,,,visible,Prepared food and beverage,,,,,,,,variable,,N,,,,N,,Drink Sizes,Large - 24oz,,,,,,,,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,Y
QNPFY445GE74YIZGXGNPFURF,PROTEIN OPTIONS,,Protein roll plain,,,,"Food, From the case",Food,,,,,hidden,Physical good,,,,N,N,N,Y,6.00,,N,,N,,N,Y,Breakfast,Protein roll plain,,,,600,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
O57EINI75YTLOLGW2FHVZ2KG,PROTEIN OPTIONS,,Protein roll & gravy,,,,"Food, From the case",Food,,,,,hidden,Physical good,,,,,,,,7.00,,N,,,,N,,Breakfast,Protein roll & gravy,,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
RGLV3YBNJDRJS6CL62Y3BBCJ,PROTEIN OPTIONS,,Gravy cup,,,,"Food, From the case",Food,,,,,hidden,Physical good,,,,,,,,1.00,,N,,,,N,,Breakfast,Gravy cup,,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
NZYJJRCHTNJXJIFHTF55ZXH2,PROTEIN OPTIONS,,English muffin Sammie,,,,"Food, From the case",Food,,,,,hidden,Physical good,,,,,,,,6.00,,N,,,,N,,Breakfast,English muffin Sammie,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HJTVBBUFK6RBJM62XLY2QHXN,PROTEIN OPTIONS,,Bagel Sammie,,,,"Food, From the case",Food,,,,,hidden,Physical good,,,,,,,,8.00,,N,,,,N,,Breakfast,Bagel Sammie,,,,566,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
OJ2YC6Q744P6BWDM5T6GB4GK,PROTEIN OPTIONS,,Bistro Sammie,,,,"Food, From the case",Food,,,,,hidden,Physical good,,,,,,,,8.00,,N,,,,N,,Breakfast,Bistro Sammie,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FAPW5KA4J2UX7KLGYNTB43CM,PROTEIN OPTIONS,,Meat free English muffin Sammie,,,,"Food, From the case",Food,,,,,hidden,Physical good,,,,,,,,5.00,,N,,,,N,,Breakfast,Meat free English muffin Sammie,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2WFHRDYSPPPWBD3Y6RXVD4CO,PROTEIN OPTIONS,,Meat free bagel Sammie,,,,"Food, From the case",Food,,,,,hidden,Physical good,,,,,,,,7.00,,N,,,,N,,Breakfast,Meat free bagel Sammie,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
CRQIZHC5ZPSUT6K7JKIY3723,Parfait,,Regular,,,,Food,Food,,,,,hidden,Prepared food and beverage,,,,N,N,N,Y,8.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FN37YUY4GZKP6JFU5FFE2F7G,Pastry,,Regular,,,,"Food, From the case",Food,,,,,hidden,Physical good,,,,N,N,N,Y,4.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
N3ZXUBIZQK3HCVZTGV2RI2WS,Pretzel,,Beer cheese,,,,Bread,Bread,,,,,hidden,Physical good,,,,N,N,N,Y,6.00,,N,,N,,N,Y,Combo,Beer cheese,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
RHRIWLBZY44OSFEGKBJVKSMY,Pretzel,,Honey mustard,,,,Bread,Bread,,,,,hidden,Physical good,,,,,,,,6.00,,N,,,,N,,Combo,Honey mustard,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2KO7Y43Q7ZSKBUHF33RPHB3I,Pretzel,,Solo,,,,Bread,Bread,,,,,hidden,Physical good,,,,,,,,5.00,,N,,,,N,,Combo,Solo,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MPFTZNDZOLP4M5W7PEGEXPOJ,Puddin cups,,Regular,,,,Food,Food,,,,,hidden,Physical good,,,,N,N,N,Y,6.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
TVWVUGPD4J4POLGBVCUOBR3C,Retail Beans,,Espresso,,,,Retail,Retail,,,,,hidden,Prepared food and beverage,,,,N,N,N,Y,20.00,,N,,N,,N,Y,Beans,Espresso,,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
GYSAI7GIMTAQZXQHOFJK6ERH,Retail Beans,,Cold brew,,,,Retail,Retail,,,,,hidden,Prepared food and beverage,,,,,,,,20.00,,N,,,,N,,Beans,Cold brew,,,,3,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MTDCLNWPAKJSRL7D6VX4KGO6,Retail Beans,,French roast,,,,Retail,Retail,,,,,hidden,Prepared food and beverage,,,,,,,,20.00,,N,,,,N,,Beans,French roast,,,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
S7JLSYADAATB3K7E6EVLAWVA,Sausage braid,,Regular,,,,Food,Food,,,,,hidden,Physical good,,,,N,N,N,Y,6.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
K46OMCLSUSALLW4GR4KDCBJE,Sourdough Artisan loaf,,Jalapeño and cheese,,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,N,N,N,Y,12.50,,N,,N,,N,Y,Flavors and inclusions,Jalapeño and cheese,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
LAUTNBDCKVTM2KHZ3NYTA7M7,Sourdough Artisan loaf,,Garlic and herb,,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,12.50,,N,,,,N,,Flavors and inclusions,Garlic and herb,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
66C2QDF2HTZQBEV34HEITBOW,Sourdough Artisan loaf,,Chocolate,,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,12.50,,N,,,,N,,Flavors and inclusions,Chocolate,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
L25HYSHPJWMLYLWXHOS2FKOJ,Sourdough Artisan loaf,,Whole wheat,,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,12.50,,N,,,,N,,Flavors and inclusions,Whole wheat,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
BARY5T73HKQA32K3JP3EOUN7,Sourdough Artisan loaf,,Cinnamon raisin,,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,12.50,,N,,,,N,,Flavors and inclusions,Cinnamon raisin,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
OKHFOLUK7EKOKXVNYSFP7TMX,Sourdough Artisan loaf,,Plain,,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,10.50,,N,,,,N,,Flavors and inclusions,Plain,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
VTTN3334GYYC7I26EJDNNNRW,Sourdough Artisan loaf,,Garlic Parmesan,,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,12.50,,N,,,,N,,Flavors and inclusions,Garlic Parmesan,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
XTQP7NKXPWIFAQS42YG4NZKJ,Sourdough Artisan loaf,,Seasons greeting,,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,12.50,,N,,,,N,,Flavors and inclusions,Seasons greeting,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MDPXSC2XAXRM47QPO7NZUCGB,Sourdough Artisan loaf,,Margherita,,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,12.50,,N,,,,N,,Flavors and inclusions,Margherita,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FKZ5WSXXCW3M4XQCXEUCDRZW,Sourdough Artisan loaf,,Hot honey and feta,,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,12.00,,N,,,,N,,Flavors and inclusions,Hot honey and feta,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
BRAG46FAQNSC6HAWEBCL4KPZ,Sourdough Artisan loaf,,Candied walnut & cranberry,,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,12.00,,N,,,,N,,Flavors and inclusions,Candied walnut & cranberry,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
VYUCAIC5QEV2RKPXLTHZDRLQ,Sourdough Artisan loaf,,Rosemary thyme and white cheddar,,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,12.00,,N,,,,N,,Flavors and inclusions,Rosemary thyme and white cheddar,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
KV5QBTDSCYELWSRKWQHVC2AA,Sourdough Artisan loaf,,Everything bagel and white cheddar,,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,12.00,,N,,,,N,,Flavors and inclusions,Everything bagel and white cheddar,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
OFRZBU72ANVAZ75YLN7AESSN,Sourdough Artisan loaf,,Rye,,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,12.00,,N,,,,N,,Flavors and inclusions,Rye,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
PE2ZTD7OWB5PENKNHFGEO6LE,Sourdough Artisan loaf,,Blackberry white cheddar,,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,12.00,,N,,,,N,,Flavors and inclusions,Blackberry white cheddar,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
JNVAVJQGQEQS6APXK5OXKXP7,Sourdough Baguette,,Regular,,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,N,N,N,Y,5.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
GECV7QEEQZP7X3JKHYOPAIP2,Sourdough Class for beginners,,Regular,,,"<p>Does sourdough intimidate you? Feel like it’s overly time consuming? Are you wanting to make bread without feeling like you need a bachelors degree in science?</p><p>I get it!! This class is catered to those who want to learn, “lazy sourdough” methods, that don’t  involve rigid techniques. </p><p>What to expect-</p><p>1. This will be a small intimate class, I’m only accepting 10-12 individuals because I really like to spend time with my individuals that attend. Spots are limited, and slots available will be updated as the class fills up. </p><p>2. Included in this class you will be gifted a live starter, a quart jar, a bag of basic unbleached flour, as well as a PDF of my step by step how to. </p><p>3. When you sign up for this class, you gain a long term coach, as you go home and you are ready to take action solo in the kitchen, You can pester me, FaceTime me, call me, email me, ALL. OF. IT. and I will guide you through the whole process. Loaf looks weird? Send me a picture. Can’t remember what temp the oven needed to be? Text me.  This is a huge benefit to this class as it allows you the peace of mind that I have your back. </p><p>4. Class will be held at our store front in Cole Camp! 100 s maple st Cole camp mo 65325 </p><p>5. Class cost is $60 per person, an invoice link will be sent to you via email after sign up. </p><p>6. NON REFUNDABLE- If you pay for the class, and miss it I cannot refund, this wouldnt be fair to me or others, however we do understand special circumstances which can be discussed. </p><p>You can find my form &#34;Class Sign Up Form&#34; at: <a target=""_blank"" rel=""noopener noreferrer nofollow"" href=""https://form.jotform.com/241945834614159"">https://form.jotform.com/241945834614159</a></p><p>Thank you to all patrons of ABAPB🥰🫶🏻🥖</p>",,,,,,,visible,Event,,,,Y,,,,60.00,,N,,N,,Y,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
D42VPEQPJ5MNKBS7IM3PTQ7G,Sourdough Focaccia,,Regular,,,"Perfect for dipping, stacking up a sandwich or just slathering with butter","Bread, Food",Bread,,,,,hidden,Physical good,,,,N,N,N,Y,8.00,,N,,N,,N,Y,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
XEXICF4KJTW5KF2CGSUIJSED,Sourdough Focaccia,,Sea salt,,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,8.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
J34IKEQHZFEOYKHPKAEQYQDW,Sourdough Focaccia,,Cracked black pepper,,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,8.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
DGT5QST7ZNXIE7ZODMWKLO26,Sourdough Focaccia,,Garlic Herb,,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,10.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
EWK66353BLB7MPA4SBN6NLY5,Sourdough Focaccia,,Cheesy garlic,,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,10.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
YDAAAFTQV57HGKOGVDISBPSB,Sourdough Focaccia,,tomato basil,,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,10.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
B4JHDP3VWUXT34HVUQT6KUV6,Sourdough Focaccia,,cinnamon roll,,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,10.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
QWI3EPZR3GM7BQXZWSL3D5GS,Sourdough Focaccia,,cinnamon raisin,,,,"Bread, Food",Bread,,,,,hidden,Physical good,,,,,,,,10.00,,N,,,,N,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
CDEFVKZESCUT2TYGQLRN2RUW,Stryker Energy,,Small - 16oz,,,"Recharge with Stryker Energy, a refreshing beverage infused with the natural energy-boosting properties of Lotus Energy, designed to invigorate and refresh.",Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,6.00,,N,,N,,N,Y,Drink Sizes,Small - 16oz,,,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y
5B7PDXCYN42WO3CKYST4MWC3,Stryker Energy,,Regular - 20oz,,,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,7.00,,N,,,,N,,Drink Sizes,Regular - 20oz,,,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y
I7RIX37XTQ6MF3MCZ2JA3LUP,Stryker Energy,,Large - 24oz,,,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,8.00,,N,,,,N,,Drink Sizes,Large - 24oz,,,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y
LT353CV5PZDGMBUDFUJD5UYL,Syrups,,Vanilla,,,,,,,,,,hidden,Physical good,,,,N,N,N,Y,0.75,,N,,N,,N,Y,Flavors,Vanilla,,,,2,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
NW37JGAKOKAYCGJK2F7D7GZY,Syrups,,Hazelnut,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,Hazelnut,,,,4,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
POYPAP2JVFHDUY5IOZTNXFLH,Syrups,,Classic praline,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,Classic praline,,,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
QRKEHVUVCFRBCZRVTNV36MY5,Syrups,,Caramel pecan,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,Caramel pecan,,,,2,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
5OASLSSOJGMAFJDCGT4KSGDF,Syrups,,Butterscotch,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,Butterscotch,,,,2,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
I2KE52WZF63AKBPEYPR2RAP4,Syrups,,English toffee,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,English toffee,,,,4,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
AVDQAQOUTAFSWINHBM6VIOST,Syrups,,Toasted marshmallow,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,Toasted marshmallow,,,,2,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HDT33S34BGFTQ2CPI6UODYLV,Syrups,,Sugar,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,Sugar,,,,2,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
XHW5ZLNNPOBDI5OSYRXRORMZ,Syrups,,Banana,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,Banana,,,,5,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
LACRQPHCDX37CFI66VJEF64H,Syrups,,Lavender,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,Lavender,,,,3,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
VAO3WEUQF34ZQSCB3QCUDH5B,Syrups,,Spiced brown sugar,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,Spiced brown sugar,,,,4,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
IJP35T2QAUVFWKV5SJHX3LNA,Syrups,,Strawberry,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,Strawberry,,,,2,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
QTQZWZPOUY5OYKUZ2XBMB4CP,Syrups,,Coconut,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,Coconut,,,,3,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
DDDVOXYPI3ZUXVCSA4THCLNN,Syrups,,Pina colada,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,Pina colada,,,,5,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
VQ2FOZ6EEYI7Q5ATPBFMHJDZ,Syrups,,Watermelon,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,Watermelon,,,,4,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MWUXRI2GEKDZ7VJVBUEBMDEQ,Syrups,,Peach,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,Peach,,,,5,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
GZNIKGST47WXEMAOHLV2DBNS,Syrups,,Blue raspberry,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,Blue raspberry,,,,3,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
M2NNCQJHG3Q3ETFKIKHCAYB4,Syrups,,Peppermint,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,Peppermint,,,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
LW7Z6R34I35HJKRRBP3WMUYZ,Syrups,,Raspberry,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,Raspberry,,,,2,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
4NT52VU6MFPS6EPSJAKHY7OT,Syrups,,BlackBerry,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,BlackBerry,,,,4,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Z76OBBVMO6JQQRGDXKT6IYZR,Syrups,,Cotton candy,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,Cotton candy,,,,3,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
T42I47HNRRJRANU4BPGSHXNN,Syrups,,Prickly pear,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,Prickly pear,,,,3,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
OKDWKTPCEVNMVSK76J6UPL3G,Syrups,,Peanut butter,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,Peanut butter,,,,3,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
PB5ST7F4CTVB5ZZQWESZUDIL,Syrups,,Orange,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,Orange,,,,5,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G2VYIBQONGKS52LZ6UJPGC4C,Syrups,,Mango,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,Mango,,,,3,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
UP6BMUXPJMHBHEWKX6LDCFEH,Syrups,,Sf vanilla,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,Sf vanilla,,,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
TZCQIZTG7EYIOOGYRJEI27MW,Syrups,,Sf caramel,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,Sf caramel,,,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6P522JUQIPBSNUIQVJY7GTJ2,Syrups,,Sf hazelnut,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,Sf hazelnut,,,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
TY2W2NWLBEGV3M6WPFPKKBKD,Syrups,,Sf butterscotch,,,,,,,,,,hidden,Physical good,,,,,,,,0.75,,N,,,,N,,Flavors,Sf butterscotch,,,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
